index,time_coor,trials,targets,volume_interest,n_volume,time_indices,new_triple_num,triple_char,triple_group
24,28.8,7.0,5,1,1,10,0,a,0
29,34.8,8.0,19,1,1,11,1,b,0
34,40.8,9.0,3,1,1,12,2,c,0
83,99.6,22.0,5,1,2,45+46,0,a,0
88,105.6,23.0,19,1,2,47+48,1,b,0
90,108.0,24.0,3,1,1,39,2,c,0
116,139.2,31.0,5,1,2,61+62,0,a,0
118,141.6,32.0,19,1,2,63+64,1,b,0
120,144.0,33.0,3,1,1,55,2,c,0
234,280.8,64.0,5,1,1,102,0,a,0
235,282.0,65.0,19,1,2,113+114,1,b,0
239,286.8,66.0,3,1,1,105,2,c,0
125,150.0,34.0,17,1,1,56,3,d,1
130,156.0,35.0,23,1,2,67+68,4,e,1
134,160.79999999999995,36.0,4,1,1,59,5,f,1
170,204.0,46.0,17,1,2,83+84,3,d,1
175,210.0,47.0,23,1,2,85+86,4,e,1
179,214.8,48.0,4,1,1,77,5,f,1
204,244.8,55.0,17,1,1,87,3,d,1
207,248.4,56.0,23,1,2,98+99,4,e,1
209,250.8,57.0,4,1,1,90,5,f,1
240,288.0,67.0,17,1,2,116+117,3,d,1
245,294.0,68.0,23,1,1,108,4,e,1
250,300.0,69.0,4,1,1,109,5,f,1
195,234.0,52.0,24,1,1,83,6,g,2
196,235.2,53.0,6,1,2,94+95,7,h,2
199,238.8,54.0,21,1,1,86,8,i,2
253,303.6,70.0,24,1,2,120+121,6,g,2
255,306.0,71.0,6,1,1,112,7,h,2
258,309.6,72.0,21,1,2,123+124,8,i,2
286,343.2,79.0,24,1,2,135+136,6,g,2
290,348.0,80.0,6,1,1,127,7,h,2
293,351.6,81.0,21,1,2,138+139,8,i,2
304,364.8,85.0,24,1,1,135,6,g,2
307,368.4,86.0,6,1,2,146+147,7,h,2
313,375.6,87.0,21,1,2,148+149,8,i,2
4,4.8,1.0,13,1,1,0,9,j,3
6,7.199999999999998,2.0,16,1,2,11+12,10,k,3
8,9.6,3.0,15,1,2,13+14,11,l,3
35,42.0,10.0,13,1,2,23+24,9,j,3
41,49.2,11.0,16,1,2,25+26,10,k,3
43,51.6,12.0,15,1,2,27+28,11,l,3
95,114.0,25.0,13,1,1,40,9,j,3
100,120.0,26.0,16,1,2,51+52,10,k,3
102,122.4,27.0,15,1,2,53+54,11,l,3
160,192.0,43.0,13,1,1,68,9,j,3
162,194.4,44.0,16,1,2,79+80,10,k,3
165,198.0,45.0,15,1,2,81+82,11,l,3
69,82.8,19.0,11,1,1,30,12,m,4
72,86.39999999999998,20.0,22,1,2,41+42,13,n,4
78,93.6,21.0,8,1,2,43+44,14,o,4
150,180.0,40.0,11,1,1,64,12,m,4
155,186.0,41.0,22,1,1,65,13,n,4
156,187.2,42.0,8,1,2,76+77,14,o,4
210,252.0,58.0,11,1,2,101+102,12,m,4
216,259.2,59.0,22,1,2,103+104,13,n,4
220,264.0,60.0,8,1,1,95,14,o,4
332,398.4,94.0,11,1,2,161+162,12,m,4
334,400.8,95.0,22,1,1,153,13,n,4
340,408.0,96.0,8,1,1,154,14,o,4
57,68.39999999999999,16.0,2,1,2,35+36,15,p,5
60,72.0,17.0,18,1,2,37+38,16,q,5
64,76.8,18.0,20,1,1,29,17,r,5
264,316.8,73.0,2,1,1,115,15,p,5
267,320.4,74.0,18,1,2,126+127,16,q,5
270,324.0,75.0,20,1,2,128+129,17,r,5
297,356.4,82.0,2,1,2,140+141,15,p,5
299,358.8,83.0,18,1,1,132,16,q,5
300,360.0,84.0,20,1,2,143+144,17,r,5
325,390.0,91.0,2,1,2,156+157,15,p,5
327,392.4,92.0,18,1,2,158+159,16,q,5
329,394.8,93.0,20,1,1,150,17,r,5
10,12.0,4.0,14,1,1,5,18,s,6
13,15.6,5.0,1,1,2,16+17,19,t,6
18,21.6,6.0,10,1,2,18+19,20,u,6
105,126.0,28.0,14,1,2,55+56,18,s,6
107,128.4,29.0,1,1,2,57+58,19,t,6
111,133.2,30.0,10,1,2,59+60,20,u,6
181,217.2,49.0,14,1,2,88+89,18,s,6
186,223.2,50.0,1,1,2,90+91,19,t,6
190,228.0,51.0,10,1,1,82,20,u,6
221,265.2,61.0,14,1,2,106+107,18,s,6
226,271.2,62.0,1,1,2,108+109,19,t,6
230,276.0,63.0,10,1,2,110+111,20,u,6
46,55.2,13.0,12,1,2,29+30,21,v,7
48,57.6,14.0,7,1,2,31+32,22,w,7
51,61.2,15.0,9,1,2,33+34,23,x,7
139,166.79999999999995,37.0,12,1,1,60,21,v,7
142,170.4,38.0,7,1,2,71+72,22,w,7
144,172.79999999999995,39.0,9,1,1,63,23,x,7
275,330.0,76.0,12,1,2,130+131,21,v,7
281,337.2,77.0,7,1,2,132+133,22,w,7
285,342.0,78.0,9,1,1,124,23,x,7
318,381.6,88.0,12,1,2,150+151,21,v,7
321,385.2,89.0,7,1,2,152+153,22,w,7
323,387.6,90.0,9,1,2,154+155,23,x,7
